playerID,award,year,lgID,note,pos
bouchbu01,First Team All-Star,1945,NHL,,D
bouchbu01,First Team All-Star,1946,NHL,,D
bouchbu01,Second Team All-Star,1943,NHL,,D
bouchfr01,First Team All-Star,1932,NHL,,C
bouchfr01,First Team All-Star,1933,NHL,,C
bouchfr01,First Team All-Star,1934,NHL,,C
bouchfr01,Lady Byng,1927,NHL,,
bouchfr01,Lady Byng,1928,NHL,,
bouchfr01,Lady Byng,1929,NHL,,
bouchfr01,Lady Byng,1930,NHL,,
bouchfr01,Lady Byng,1932,NHL,,
bouchfr01,Lady Byng,1933,NHL,,
bouchfr01,Lady Byng,1934,NHL,,
bouchfr01,Second Team All-Star,1930,NHL,,C
bournbo01,Masterton,1987,NHL,,
bourqra01,Calder,1979,NHL,,
bourqra01,First Team All-Star,1979,NHL,,D
bourqra01,First Team All-Star,1981,NHL,,D
bourqra01,First Team All-Star,1983,NHL,,D
bourqra01,First Team All-Star,1984,NHL,,D
bourqra01,First Team All-Star,1986,NHL,,D
bourqra01,First Team All-Star,1987,NHL,,D
bourqra01,First Team All-Star,1989,NHL,,D
bourqra01,First Team All-Star,1990,NHL,,D
bourqra01,First Team All-Star,1991,NHL,,D
bourqra01,First Team All-Star,1992,NHL,,D
bourqra01,First Team All-Star,1993,NHL,,D
bourqra01,First Team All-Star,1995,NHL,,D
bourqra01,First Team All-Star,2000,NHL,,D
bourqra01,King Clancy,1991,NHL,,
bourqra01,Norris,1986,NHL,,
bourqra01,Norris,1987,NHL,,
bourqra01,Norris,1989,NHL,,
bourqra01,Norris,1990,NHL,,
bourqra01,Norris,1993,NHL,,
bourqra01,Second Team All-Star,1980,NHL,,D
bourqra01,Second Team All-Star,1982,NHL,,D
bourqra01,Second Team All-Star,1985,NHL,,D
bourqra01,Second Team All-Star,1988,NHL,,D
bourqra01,Second Team All-Star,1994,NHL,,D
bourqra01,Second Team All-Star,1998,NHL,,D
bouwmja01,All-Rookie,2002,NHL,,D
bowerjo01,First Team All-Star,1960,NHL,,G
bowerjo01,Vezina,1960,NHL,,
bowerjo01,Vezina,1964,NHL,shared,
boyesbr01,All-Rookie,2005,NHL,,F
boyleda01,Second Team All-Star,2006,NHL,,D
boyleda01,Second Team All-Star,2008,NHL,,D
boyntni01,All-Rookie,2001,NHL,,D
breweca01,First Team All-Star,1962,NHL,,D
breweca01,Second Team All-Star,1961,NHL,,D
breweca01,Second Team All-Star,1964,NHL,,D
breweca01,Second Team All-Star,1969,NHL,,D
brimsfr01,Calder,1938,NHL,,
brimsfr01,First Team All-Star,1938,NHL,,G
brimsfr01,First Team All-Star,1941,NHL,,G
brimsfr01,Second Team All-Star,1939,NHL,,G
brimsfr01,Second Team All-Star,1940,NHL,,G
brimsfr01,Second Team All-Star,1942,NHL,,G
brimsfr01,Second Team All-Star,1945,NHL,,G
brimsfr01,Second Team All-Star,1946,NHL,,G
brimsfr01,Second Team All-Star,1947,NHL,,G
brimsfr01,Vezina,1938,NHL,,
brimsfr01,Vezina,1941,NHL,,
brindro01,All-Rookie,1989,NHL,,LW
brindro01,Selke,2005,NHL,,
brindro01,Selke,2006,NHL,,
broadpu01,Art Ross,1921,NHL,,
brodatu01,First Team All-Star,1940,NHL,,G
brodatu01,First Team All-Star,1947,NHL,,G
brodatu01,Second Team All-Star,1941,NHL,,G
brodatu01,Vezina,1940,NHL,,
brodatu01,Vezina,1947,NHL,,
brodema01,All-Rookie,1993,NHL,,G
brodema01,Calder,1993,NHL,,
brodema01,First Team All-Star,2002,NHL,,G
brodema01,First Team All-Star,2003,NHL,,G
brodema01,First Team All-Star,2006,NHL,,G
brodema01,Jennings,1996,NHL,shared,
