year,hofID,name,category
1969,abelsi01h,Sid Abel,Player
1960,adamsch01h,Charles Adams,Builder
1959,adamsja01h,Jack Adams,Player
1972,adamswe01h,Weston Adams,Builder
1977,ahearbu01h,Bunny Ahearne,Builder
1962,ahearfr01h,Frank Ahearn,Builder
1945,allanmo01h,Montagu Allan,Builder
1992,allenke01h,Keith Allen,Builder
2008,andergl01h,Glenn Anderson,Player
1961,appssy01h,Syl Apps,Player
1996,arboual01h,Al Arbour,Builder
1975,armstge01h,George Armstrong,Player
1991,armstne01h,Neil Armstrong,Referee/Linesman
1981,ashlejo01h,John Ashley,Referee/Linesman
1975,baileac01h,Ace Bailey,Player
1949,bainda01h,Dan Bain,Player
1945,bakerho01h,Hobey Baker,Player
1977,ballaha01h,Harold Ballard,Builder
1990,barbebi01h,Bill Barber,Player
1965,barryma01h,Marty Barry,Player
1978,bathgan01h,Andy Bathgate,Player
1996,bauerbo01h,Bobby Bauer,Player
1989,bauerda01h,David Bauer,Builder
2011,belfoed01h,Ed Belfour,Player
1972,belivje01h,Jean Beliveau,Player
1965,benedcl01h,Clint Benedict,Player
1964,bentldo01h,Doug Bentley,Player
1966,bentlma01h,Max Bentley,Player
1978,bickejo01h,John Bickell,Builder
1966,blaketo01h,Toe Blake,Player
1986,boivile01h,Leo Boivin,Player
1952,boondi01h,Dickie Boon,Player
1991,bossymi01h,Mike Bossy,Player
1966,bouchbu01h,Butch Bouchard,Player
1958,bouchfr01h,Frank Boucher,Player
1960,bouchge01h,Georges Boucher,Player
2004,bourqra01h,Raymond Bourque,Player
1976,bowerjo01h,Johnny Bower,Player
1947,bowieru01h,Russell Bowie,Player
1991,bowmasc01h,Scotty Bowman,Builder
1966,brimsfr01h,Frank Brimsek,Player
1962,broadpu01h,Punch Broadbent,Player
1967,brodatu01h,Turk Broda,Player
2006,brookhe01h,Herb Brooks,Builder
1961,brownge03h,George Brown,Builder
1962,brownwa02h,Walter Brown,Builder
1975,bucklfr01h,Frank Buckland,Builder
1981,bucykjo01h,John Bucyk,Player
1974,burchbi01h,Billy Burch,Player
2000,bushwa01h,Walter Bush,Builder
1980,butteja01h,Jack Butterfield,Builder
1947,caldefr01h,Frank Calder,Builder
1962,camerha01h,Harry Cameron,Player
1964,campban01h,Angus Campbell,Builder
1966,campbcl01h,Clarence Campbell,Builder
1977,cattajo01h,Joseph Cattarinich,Builder
1964,chadwbi01h,Bill Chadwick,Referee/Linesman
1985,cheevge01h,Gerry Cheevers,Player
2008,chynoed01h,Ed Chynoweth,Builder
2010,ciccadi01h,Dino Ciccarelli,Player
1958,clancki01h,King Clancy,Player
1947,clappdi01h,Dit Clapper,Player
1987,clarkbo01h,Bobby Clarke,Player
1958,cleghsp01h,Sprague Cleghorn,Player
2004,coffepa01h,Paul Coffey,Player
1967,colvine01h,Neil Colville,Player
1961,conacch01h,Charlie Conacher,Player
1994,conacli01h,Lionel Conacher,Player
1998,conacro01h,Roy Conacher,Player
1958,conneal01h,Alec Connell,Player
1952,cookbi01h,Bill Cook,Player
1995,cookbu01h,Bun Cook,Player
2005,costemu01h,Murray Costello,Builder
1974,coultar01h,Art Coulter,Player
1982,cournyv01h,Yvan Cournoyer,Player
1968,cowlebi01h,Bill Cowley,Player
1962,crawfru01h,Rusty Crawford,Player
1993,damicjo01h,John D'Amico,Referee/Linesman
1963,dandule01h,Leo Dandurand,Builder
1962,darraja01h,Jack Darragh,Player
1950,davidal01h,Scotty Davidson,Player
1961,dayha01h,Hap Day,Player
1977,delveal01h,Alex Delvecchio,Player
1959,dennecy01h,Cy Denneny,Player
2010,develji01h,Jim Devellano,Builder
1964,diliofr01h,Francis Dilio,Builder
1992,dionnma01h,Marcel Dionne,Player
1975,drillgo01h,Gordie Drillon,Player
1950,drinkgr01h,Graham Drinkwater,Player
1983,drydeke01h,Ken Dryden,Player
1958,dudlege01h,George Dudley,Builder
2006,duffdi01h,Dick Duff,Player
1992,dumarwo01h,Woody Dumart,Player
1974,dundeto01h,Tommy Dunderdale,Player
1968,dunnji01h,Jimmy Dunn,Builder
1964,durnabi01h,Bill Durnan,Player
1958,duttore01h,Red Dutton,Player
1970,dyeba01h,Babe Dye,Player
1961,ellioch01h,Chaucer Elliott,Referee/Linesman
1984,esposph01h,Phil Esposito,Player
1988,esposto01h,Tony Esposito,Player
1965,farrear01h,Art Farrell,Player
2002,federbe01h,Bernie Federko,Player
2001,fetisvi01h,Viacheslav Fetisov,Player
1990,flamafe01h,Fern Flaman,Player
2004,fletccl01h,Cliff Fletcher,Builder
1958,foystfr01h,Frank Foyston,Player
1982,francem01h,Emile Francis,Builder
2007,francro01h,Ron Francis,Player
1958,fredrfr01h,Frank Fredrickson,Player
2003,fuhrgr01h,Grant Fuhr,Player
1970,gadsbbi01h,Bill Gadsby,Player
1992,gainebo01h,Bob Gainey,Player
1945,gardich01h,Charlie Gardiner,Player
1958,gardihe01h,Herb Gardiner,Player
1962,gardnji01h,Jim Gardner,Player
2001,gartnmi01h,Mike Gartner,Player
1972,geoffbe01h,Bernie Geoffrion,Player
1945,gerared01h,Eddie Gerard,Player
1987,giacoed01h,Ed Giacomin,Player
1976,gibsoja02h,Jack Gibson,Builder
1982,gilbero01h,Rod Gilbert,Player
2002,gillicl01h,Clark Gillies,Player
1962,gilmobi01h,Billy Gilmour,Player
2011,gilmodo01h,Doug Gilmour,Player
1952,goheemo01h,Moose Goheen,Player
1963,goodfeb01h,Ebbie Goodfellow,Player
1963,gormato01h,Tommy Gorman,Builder
1998,goulemi01h,Michel Goulet,Player
2010,granaca01h,Cammi Granato,Player
1950,grantmi01h,Mike Grant,Player
1962,greensh01h,Shorty Green,Player
2007,gregoji01h,Jim Gregory,Builder
1999,gretzwa01h,Wayne Gretzky,Player
1993,grifffr01h,Frank Griffiths,Builder
1950,griffsi01h,Si Griffis,Player
1961,hainsge01h,George Hainsworth,Player
1975,hallgl01h,Glenn Hall,Player
1961,halljo01h,Joe Hall,Player
1986,hanlebi01h,Bill Hanley,Builder
1973,harvedo01h,Doug Harvey,Player
2001,hawerda01h,Dale Hawerchuk,Player
