playerID,award,year
seibeea01,Second Team All-Star,1940
selante01,All-Rookie,1992
selante01,First Team All-Star,1992
selante01,First Team All-Star,1996
selante01,Second Team All-Star,1997
selante01,Second Team All-Star,1998
shanabr01,First Team All-Star,1993
shanabr01,First Team All-Star,1999
shanabr01,Second Team All-Star,2001
shawbr01,All-Rookie,1989
sheppra01,All-Rookie,1987
shoreed01,First Team All-Star,1930
shoreed01,First Team All-Star,1931
shoreed01,First Team All-Star,1932
shoreed01,First Team All-Star,1934
shoreed01,First Team All-Star,1935
shoreed01,First Team All-Star,1937
shoreed01,First Team All-Star,1938
shoreed01,Second Team All-Star,1933
shuttst01,First Team All-Star,1976
shuttst01,Second Team All-Star,1977
shuttst01,Second Team All-Star,1979
siebeba01,First Team All-Star,1935
siebeba01,First Team All-Star,1936
siebeba01,First Team All-Star,1937
simmech01,First Team All-Star,1979
simmech01,First Team All-Star,1980
sittlda01,Second Team All-Star,1977
skinnje01,All-Rookie,2010
sloanto01,Second Team All-Star,1955
smithge01,All-Rookie,1989
smithho01,First Team All-Star,1935
smithho01,Second Team All-Star,1931
smithsi01,First Team All-Star,1954
smithsi01,Second Team All-Star,1950
smithsi01,Second Team All-Star,1951
staaler01,Second Team All-Star,2005
staaljo01,All-Rookie,2006
stamkst01,Second Team All-Star,2010
stamkst01,Second Team All-Star,2011
stanlal01,Second Team All-Star,1959
stanlal01,Second Team All-Star,1960
stanlal01,Second Team All-Star,1965
stanowa01,First Team All-Star,1940
staplpa01,Second Team All-Star,1965
staplpa01,Second Team All-Star,1970
staplpa01,Second Team All-Star,1971
stastpa01,All-Rookie,2006
steveke01,First Team All-Star,1991
steveke01,Second Team All-Star,1990
steveke01,Second Team All-Star,1992
stevesc01,All-Rookie,1982
stevesc01,First Team All-Star,1987
stevesc01,First Team All-Star,1993
stevesc01,Second Team All-Star,1991
stevesc01,Second Team All-Star,1996
stevesc01,Second Team All-Star,2000
stewaga01,First Team All-Star,1945
stewaga01,Second Team All-Star,1947
stewaja01,First Team All-Star,1942
stewaja01,First Team All-Star,1947
stewaja01,First Team All-Star,1948
stewaja01,Second Team All-Star,1945
stewaja01,Second Team All-Star,1946
stlouma01,First Team All-Star,2003
stlouma01,Second Team All-Star,2006
stlouma01,Second Team All-Star,2009
stlouma01,Second Team All-Star,2010
stuarbr01,All-Rookie,1999
subbapk01,All-Rookie,2010
sundima01,Second Team All-Star,2001
sundima01,Second Team All-Star,2003
suterga01,All-Rookie,1985
suterga01,Second Team All-Star,1987
sykorpe01,All-Rookie,1995
talboje01,First Team All-Star,1961
tavarjo01,All-Rookie,2009
tayloda01,Second Team All-Star,1980
therich01,All-Rookie,1994
thomppa01,First Team All-Star,1937
thomppa01,Second Team All-Star,1935
thomsbi02,Second Team All-Star,1935
thomsji01,Second Team All-Star,1950
thomsji01,Second Team All-Star,1951
thornjo01,First Team All-Star,2005
thornjo01,Second Team All-Star,2002
thornjo01,Second Team All-Star,2007
tkachke01,Second Team All-Star,1994
tkachke01,Second Team All-Star,1997
toddke01,All-Rookie,1991
toewsjo01,All-Rookie,2007
toneljo01,Second Team All-Star,1981
toneljo01,Second Team All-Star,1984
trembjc01,First Team All-Star,1970
trembjc01,Second Team All-Star,1967
trottbr01,First Team All-Star,1977
trottbr01,First Team All-Star,1978
trottbr01,Second Team All-Star,1981
trottbr01,Second Team All-Star,1983
turgesy01,All-Rookie,1983
ullmano01,First Team All-Star,1964
ullmano01,Second Team All-Star,1966
vanekth01,Second Team All-Star,2006
vaskomo01,Second Team All-Star,1962
vaskomo01,Second Team All-Star,1963
verstkr01,All-Rookie,2008
vickest01,Second Team All-Star,1974
visnolu01,All-Rookie,2000
visnolu01,Second Team All-Star,2010
vlasima01,All-Rookie,2006
volekda01,All-Rookie,1988
watsoph01,Second Team All-Star,1941
webersh01,First Team All-Star,2010
webersh01,First Team All-Star,2011
weilaco01,Second Team All-Star,1934
weinrer01,All-Rookie,1990
wentwcy01,Second Team All-Star,1934
weslegl01,All-Rookie,1987
wharrke01,First Team All-Star,1963
wharrke01,First Team All-Star,1966
whitebi01,Second Team All-Star,1971
whitebi01,Second Team All-Star,1972
whitebi01,Second Team All-Star,1973
whiteco01,All-Rookie,2000
whitnra01,Second Team All-Star,2011
willish01,All-Rookie,2000
wilsodo01,First Team All-Star,1981
wilsodo01,Second Team All-Star,1984
wilsodo01,Second Team All-Star,1989
yashial01,Second Team All-Star,1998
yorkmi01,All-Rookie,1999
youngwa01,All-Rookie,1984
yzermst01,All-Rookie,1983
yzermst01,First Team All-Star,1999
zalapza01,All-Rookie,1988
zettehe01,All-Rookie,2002
zettehe01,Second Team All-Star,2007
zhamnal01,Second Team All-Star,1994
zubovse01,Second Team All-Star,2005
